bartender,bar,drink_n,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8,ingredient_9
Greg Almeida,NA,Orbis Non Sufficit (The World is not Enough),50ml of Fords Gin,15ml of Roots Mastiha (infused with pink grapefruit skin),15ml of Pistachio Aged Vermouth Blend,NA,NA,NA,NA,NA,NA
Gregory Buda,The Dead Rabbit (New York),The Pub Thug (Riff on a Saratoga),1/2 teaspoon of Cinnamon Cordial,15ml of Amaro Meletti,"22,5ml oz of Malmsey Madeira","22,5ml  of Bulleit Rye",30ml of Pierre Ferrand 1840 Cognac,NA,NA,NA,NA
Gregory Buda,The Dead Rabbit (New York),White Rabbit,3 dashes of Tarragon Tincture,3 dashes of Amere Nouvelle,15ml of Lemon Juice,22.5ml of Fresh Parsnip Juice,22.5ml of Orange Sherbet,30ml of Pale Cream Montilla,45ml of  Tanqueray Gin,Grated Nutmeg,NA
Guillaume Bisiaux,Jefreys (Paris),Sazerac unforgettable,15ml of vanilla roasted pineapple syrup,35ml of rum zaccapa 23 years old,35ml of cognac folle blanche,Barspoon of absinthe,2 Dashes bitter of du maquis,Orange twist,Pineapple slice,NA,NA
Guillaume Bisiaux,Jefreys (Paris),Mille milliards de mille sabords ,50ml of rum  zaccapa 23 years old,"2,5ml of Jerez Oloroso",10ml of cocoa vanilla cream,2 Dashes of chocolat cookie,2 Dashes of bitter chocolat,NA,NA,NA,NA
Guillaume LeBlanc,Dirty Dick (Paris),Royal bermuda yacht club n°2,3 dashes of angustura bitters,15ml of triple sec,20ml of Falernum,50ml of Rum Gosling,A twist of lime discarded,NA,NA,NA,NA
Guillaume LeBlanc,Dirty Dick (Paris),Outcider,40ml of Calvados,10ml of honey sirup,20ml of lemon juice,Tonka beans grated,Top with champagne,NA,NA,NA,NA
Guillaume LeDorner,69 Colebrook Row (London),Dry Martini,50ml of gin,15ml martini extra dry with dry essence,1 olive,NA,NA,NA,NA,NA,NA
Guillaume LeDorner,69 Colebrook Row (London),Avignon,50ml of cognac,15ml of camomile syrup,Put in frankincence smoked glass,NA,NA,NA,NA,NA,NA
Guillaume Quenza,Fréquence (Paris),Manhattan,1 dash of Peychaud Bitters,1 dash of Angostura Bitters,1/2 barspoon of Luxardo Maraschino Liqueur,15ml of Blended Homemade Vermouth,45ml of Springbank 10 year old Whisky,NA,NA,NA,NA
Guillaume Quenza,Fréquence (Paris),Suzanne,40ml of Bols Old Genever,15ml of Suze,15ml of Apple Anise Syrup,15ml of Lime,NA,NA,NA,NA,NA
Hampus Thunholm,Ling Long (Stockholm),Brooklyn,40ml of Redbreast 12 years,20ml of China China,10ml of Carpano classico,1 barspoon of Luxardo Maraschino,1 dash of Orange Bitters,NA,NA,NA,NA
Hampus Thunholm,Ling Long (Stockholm),Double duck,30ml of vodka infused with duck fat,20ml of shoshu jasmine tea,30ml of lemon,20ml of sugar syrup,30ml of egg white,NA,NA,NA,NA
Hamish Dowie,Swift (London),Cardinal,45ml of London Dry Gin,20 ml of Campari,20ml of Dry Vermouth,NA,NA,NA,NA,NA,NA
